titles,content
A Quest Through Codeup,"Codeup isn’t a cheap program – we know that. As one of the longest accelerators in the country, we recognize that cost is a concern for many prospective students. That’s why this week we are excited to highlight one of our long-standing financial aid partners – Project QUEST – to show you how many pathways are available.  First of all, we view your tuition as an investment in your future, and we put our best people, ideas, and efforts to make that investment fruitful. But we also want to make that investment more accessible by providing as many financial pathways as possible for tuition funding. As we approach their annual fundraising luncheon this week, we want to highlight Project QUEST as one of the most effective such pathways you can explore. “The experience of attending Codeup has radically altered my life. Now, instead of financially treading water in a service industry job with a college degree that felt wasted, I have a fulfilling professional career with exciting possibilities for in-field advancement.” – Matthew Capper Project QUEST is a San Antonio based non-profit dedicated to workforce development and building our city’s future economy. They provide grant funding for educational and training programs, as well as career coaching and support resources (like utilities, childcare, and transportation). Over the last 4 years, Project QUEST and Codeup have collaborated to help dozens of students change careers. “Assistance from Project QUEST was invaluable and empowering. They offer incredible support for career training.” – Jesse Ruiz In 2019 alone, Project QUEST has helped Codeup train 23 Software Developers and Data Scientists. Those students received grant funding (i.e. free money) anywhere from $2,000 to a full tuition ride, allowing them to fully focus on their education. Our combined efforts help empower life change, resulting in a 92% completion rate and a 95% employment rate of students receiving Project QUEST funding. And when we say life change, we mean it. The average starting salary leaving our program for Project QUEST participants this year was $59,000! That’s the salary floor, and there’s no ceiling. Considering that many of Project QUEST’s participants come from backgrounds of under or unemployment, these are generationally impactful numbers. “QUEST’s help compounded this opportunity by giving me enough fiscal assistance that I am now on more secure financial footing than I have been in my entire adult life.” – Matthew Capper If you’re excited about Project QUEST’s impact on individuals and communities, support their work by donating here! If you’re considering a career change, reach out to us at info@codeup.com and we’ll help support your quest for a better future."
Quickpath: Solving the Data Science Talent Shortage with Codeup,"After the graduation of our first Codeup Data Science cohort, one company was eagerly waiting in the wings to scoop up a lot of our new grads: Quickpath. In business since 2004, Quickpath has helped deliver amazing customer experiences and optimize business decisions in over a hundred implementations for Fortune 500 and Fortune 1,000 companies. But as the demand for their services increased—more than doubling each of the past three years—Quickpath found itself in a talent shortage.  “We found ourselves leaving business on the table where customers were asking us for additional resources,” Alex Fly, CEO of Quickpath and board member of the Codeup Data Science program, said, “and we weren’t able to fill that request.” Fortunately, the Codeup Data Science curriculum was able to provide a much-needed pipeline of highly skilled individuals. Over the course of an intense 20-week, hands-on program, students learn a variety of data science tools and skills, including statistics, SQL, Python and regression analysis. This intense preparation, culminating in mastery with a capstone project, is what led Fly to hire not one, but three of our Codeup grads from the inaugural Data Science cohort. Codeup Data Science Grads Making an Immediate Impact Quickpath is a company that plays data science as a team sport—they really help their clients with all operations around data rather than simply creating a model. This means that Quickpath helps their clients in all the following areas:    Quickpath hired the three Codeup grads as data and machine learning (ML) engineers to work on tasks that come both before and after data model creation. And while you may think of a data science professional as being tucked away in a room doing analysis, this role at Quickpath is very customer-facing, and within a week of being hired, the Codeup grads were already interacting with a number of Quickpath customers. While such a short runway to customer interaction may evoke some nervousness in a new college graduate, the new Codeup hires were able to tap into their previous professional experience and jump right in. Leveraging Previous Experiences for a Data Science Role Fly credits the immediate success of the new Codeup grads to their previous professional experience. While they may not have been in a data science role, these Codeup hires had worked in a corporate environment for years, often using data and analytic skills.  One individual, in particular, had been on the receiving end of information from a data science model. In their previous position as an analyst in fraud detection, they would receive data model outputs in order to assess whether transactions were fraudulent.  After completing the Codeup Data Science program, this person now sits on the other side of the fence and has the ability to wrangle the data, develop a model and evaluate its success. His professional experience is what sets him apart: he keenly understands how front-line employees will interact with the data that he provides. Fly believes it’s this kind of professional experience that empowers Codeup graduates to hit the ground running.  But there’s something more than just previous professional experience. It’s also the sense that Codeup graduates are intrinsically motivated to make a major career change. As our first 2019 Data Science outcomes report noted, 77% of the class had a bachelor’s degree or higher. A person looking to change careers who invests in a 20-week program shows not only moxie but also curiosity.  “Data science is constantly moving and evolving at a very high pace. There’s a new library, modeling or deep learning framework coming out literally every week—you’ve got to constantly stay on top of your game,” Fly explained. “So being able to identify folks who are lifelong learners has been a critical success factor for our hiring profile. We found a pretty high concentration of those folks at Codeup.”   Looking Forward: Advice for Future Codeup Data Science Students The demand for professionals with knowledge of data science is not going away anytime soon. Business is continuing to boom for Fly and Quickpath, and he is already looking forward to the next round of graduates. And for those looking to enroll in a future Codeup Data Science boot camp, he has two pieces of advice. First, Fly emphasizes the importance of data, data, data, underscoring that it’s more important than all the algorithms of the world. He believes data preparation is the most fundamental skill to master.  “An average data scientist with really good data will always be able to build a better model than an expert data scientist with data,” Fly stressed. Second, he advises that in order to be successful in this field, a person must have a love of learning and can never rest on their laurels. “If you sit still for six months, your skills are out of date,” he advised. “You must have a thirst for knowledge and an ‘always-on’ learning mentality.”   Are you looking to reboot your career and become a data scientist or computer programmer? Then it’s time for you to look into Codeup. Our 20-week boot camps will immerse you in the latest technologies and provide you with the skills to make an immediate impact. We offer many financial aid options to help get you on your journey today. Photo provided by Startups San Antonio"
Codeup Dallas 2020,"11/20/2019 UPDATE: Codeup Dallas is approved and now accepting applications! Learn more here. — Codeup is San Antonio’s premier career accelerator, and we’ve been proud to build the tech workforce here over the last five years. Now, we’re excited to bring our mission of creating pathways to Software Development and Data Science careers to more people. Dallas, we have our eyes set on you! After five years exclusively focused on San Antonio, why expand now? As the bootcamp model has grown, we’ve watched our competitors expand nationally, open dozens of campuses, buy and sell to and from each other, launch coworking spaces, and more. Meanwhile, we believe the outcomes of our graduates far outweigh the number of campuses we have. We have refined our curriculum, built our team, expanded our partnership network, and built a brand people can trust. Where did we all end up? Many of our competitors have closed or sold. We’re still Texas-based, owned by our founders, and our investment in quality has brought our graduate placement rate to 97% over the last 18 months. So what’s next? With our product refined, we were ready to expand. We looked at cities all over the country, but quickly realized we didn’t want a second Codeup, or a third. Instead, we need additional campuses to belong to one cohesive Codeup. So we didn’t pick a city, we picked a state.  Texas has the 10th largest economy in the world and has over 50 company headquarters from the Fortune 500 list. All four of our major cities (Houston, Dallas, Austin, and San Antonio) have high demand for tech talent, offer a welcoming place to live and do business, and are home to a large veteran population ready for the jobs of tomorrow. We are not creating a second Codeup, but we are opening another campus. The time is right, and Texas is ready.  Dallas jumped to the top of our list to start with because we’ve already placed our graduates there at companies like USAA and Cognizant for average starting salaries of $86,666. We focus on job outcomes, so we go where our partnerships lead. That way, we can live our mission of empowering life change and launching careers in technology. We’ve secured a space in the heart of downtown Dallas, where students will have access to vibrant city life and dozens of employers. While we await final state approval for an early program 2020 launch, join our mailing list to be the first to hear when we launch! "
From Bootcamp to Bootcamp; How I found purpose through coding,"When I was 17 years old an Army recruiter came along and convinced me that the military was a good choice and could afford me many great opportunities in life. At the time I was living a carefree life with a close friend. I hadn’t considered what the next year of my life would look like, let alone the next decade. I didn’t really see myself as a soldier, but I was strongly encouraged to enlist and so I did.  It was during this time that I began playing around with building websites. I was far from good at it, but I enjoyed it, a lot. In April of 2018 I found out about coding bootcamps. I had never considered that I could make a living as a web developer. I didn’t even know what a web developer did. But it turns out that developers do the things that I enjoyed so much that I stayed up all night doing them.  At the time I was managing a small cafe, making $11 an hour. I was also a part-time uber driver to help make ends meet. It sucked, big time.  It was at this time that I made the best decision I’ve ever made. I quit that job and decided to focus on teaching myself how to code while I researched coding bootcamps that would allow me to use the remaining months I had left of my GI-Bill.  It was important to me that the school be reputable, care about their students and have a solid track record of getting students a job.  Codeup met all those requirements. Before attending Codeup, I decided that if I was going to risk the time and money it would require to improve my life and take a chance on something I knew I truly enjoyed I’d have to do some things differently. I was going to have to give it 110% because if I failed at this I didn’t want there to be any possibility that it was because I held anything back. I like to think that my military training kicked into overdrive. While at bootcamp, I arrived hours early, sometimes turning on the lights myself. Many evenings I stayed late to study and work on projects. I took pride in everything I did, making each and every project better than the last and paying attention to the details. I stayed positive, took care of myself and made coding my life. I hardly watched any television at all, one of my favorite pastimes. I also developed some amazing friendships. I continuously modified my time and intentions at Codeup to shape the best outcome possible. Needless to say, this time around I was ready for it and bootcamp was one of the best experiences of my life.   Currently I work for Cognizant. It’s the best job I’ve ever had. It feels just like Codeup where I was constantly learning and loving every second of it. I work with all the friends I made at Codeup and the salary is… well, like everything else, a dream come true. There’s absolutely nothing I would change about my experiences -Army bootcamp or coding bootcamp. I know without a doubt that because I attended both, I’m living my best life!"
5 Common Excuses Keeping You From Breaking Into the Tech Field,"Just a few months before starting at Codeup in the Redwood cohort, I was sitting in the football stadium at the University of Colorado at Boulder, pondering what I would do after graduation. The commencement speaker that year was Kate Fagan, a sports reporter and commentator at ESPN. In her speech, something she said stuck out to me: “Try replacing ‘should’ with ‘want’ and, as frequently as you are able, make decisions with that rubric. Life is best when your ‘should’ and your ‘want’ are aligned.” Sitting there in that stadium, I realized that I knew exactly what I should be doing after graduating, which was applying to attend graduate school for the next five years. But the actual truth was, I didn’t know what I truly wanted. Did I really want to jump into something for five years that I wasn’t completely sure about?  With this in mind I moved to San Antonio after graduation, mostly to be closer to my family. One night at the dinner table, my brother-in-law mentioned several eye-catching billboards around town promoting a local coding bootcamp named Codeup. I had dabbled a bit in coding when I was in college, so my interest was immediately piqued. However, there were doubts nagging at the back of my mind. Am I even capable enough to attend an intensive coding bootcamp like this? I’m not really a super logical person… Am I cut out for this? etc, etc. Despite having a ton of reservations about my capabilities and the usefulness of attending a boot camp, I decided to take a leap of faith. And just a year-and-a-half later, I celebrated my one year as a software developer at Armor in Richardson, TX. In some ways, it feels like a dream. The hard work I put in, the days and nights of impassioned coding, pushing through all the excuses… and finally landing a dream job?! It’s a colorful blur.  So that’s why in this post, I want to address five common excuses that may be keeping you from considering a career in technology. At the end of the day, it doesn’t really make sense to let your fears and nagging doubts keep you from the job of your dreams. This was one of the primary fears at the forefront of my mind when thinking about doing a complete shift to a technology career. And, as I went through Codeup, I heard this many times from my peers. To be honest, it doesn’t ever fully go away. There are days even now at work where I think I’m in over my head and that I don’t belong there (Imposter Syndrome, anyone?). This fear completely disregards the fact that I’m already doing it. The truth is, it isn’t always easy. Technology is constantly changing, creating new problems and forcing those within the field to continuously find new solutions. At my company, even our most senior developers are learning something new every day. We all have our doubts sometimes, but those self-limiting beliefs shouldn’t keep you from pursuing anything you set your mind to.  Let me ask you something. What does a veteran, electrical technician, and college music teacher have in common? Well, there was at least one of each in my cohort at Codeup, and all of them excelled and went on to become software developers. Other characters in my cohort included a stay-at-home-mom, barista, marketing professional, and a chef. All of these, however, are just arbitrary labels. None of these people told themselves “I’m just going to be a barista forever, because that’s who I am” or “My personality only suits being in a teacher, so I’m not going to try something different.” The reality is, our self-concept is always constantly shifting. There was such a colorful diversity of backgrounds, personalities, and skill sets at Codeup, proving that there’s no one type or mold of individual that can pursue a technology career.  There are days where indeed this is the case for me, just “heads down coding”, but more often than not my days are filled with collaboration and communication with my teammates. When someone runs into a problem they don’t have the knowledge to solve, they track down someone who does. When a few of us are working in the same codebase, we make sure to frequently communicate to make sure we’re not stepping on each other’s toes. On top of that, we get to be a part of producing the product, providing feedback and suggestions. There are very few days where I just sit at my desk all day, boring holes into my computer screen. Although my experience may certainly be atypical, the main point I’m trying to make is that there is a large range of positions and cultures within the technology field. There are also other roles within the technology field beyond coding and data analytics, such as evangelists and solutions consultants. Both of these have lots of interaction with people and clients! Don’t be afraid to try a few different things until you find your fit. Most of us at Codeup did not come in with prior experience in coding. The great thing about coding bootcamps is that they typically take you from 0 to 100 in a condensed period of time. They guide you through the entire process, allowing you to maximize your success, with everything from technical skills, networking, portfolio-building, and resume review. Even with bootcamps aside, there is a plethora of both paid and free resources online that give you the ability to learn a lot of the preliminary skills you would need. There are communities (e.g. Chingu) with the sole purpose of learning and building projects in new technologies. Experience can be gained, so seek out those resources. They’re only a few keystrokes away.  One thing to note about the technology field is that it’s becoming more and more heavily based on experience and not your formal education. Many companies will see the value in someone who has practical experience. The reality is that many companies are shifting towards seeking out individuals that can come in and hit the ground running with practical know-how instead of purely theoretical education.  Although basic computer skills are necessary for success, it’s probably not as much as you think. And like I mentioned above, being able to excel in this field is all about embracing change and learning to learn. You may think you’re not tech savvy because you always have issues with your radio or you can’t get your apps to work right or you get frustrated with your computer software for not doing what you want it to – all of these things are valid struggles. Trust me, I’ve been there. The reality is this: Many of these skills can be learned. As you look into pursuing a career in the technology field, don’t let these thought patterns keep you from getting where you want to be. Instead, ask yourself the real questions: Why do I want to do this? What kind of lifestyle do I see for myself? What am I passionate about? Excuses are excuses, not truths about you and your life. Set a vision and relentlessly pursue it, letting all these limiting beliefs slide off of you. They don’t have to define your journey. Joyce Ling is a software developer at a cloud security company based in Richardson, TX. In her free time, she sings in a women’s chorus, rock climbs, plays guitar, and currently runs an organization to bring queer women together in the Dallas/Ft. Worth metroplex.  Follow her on Instagram @ironicsushi or read more of her work at The Luscious Word."
Why San Antonio Has More Than Tacos To Offer,"Before moving to San Antonio, I was slightly apprehensive. Knowing little to nothing about the city, I didn’t know what to expect. All that had filtered down from the collective consciousness to my perception of the city was the obvious tourist attractions such as the Riverwalk, Alamo, and amazing Tex Mex. After spending a little under a year there, I came to fall in love with this city for reasons beyond what tourists can see in a weekend. The experience of its vibrant and proud Latino culture, flourishing art scene, and emphasis on community have left an indelible mark upon my life.  All this aside, a huge part of my experience in San Antonio was attending Codeup, a coding boot camp that allowed me to have the skills needed to make a complete career shift and also an insider’s look into San Antonio’s flourishing tech community. For those of you that have never had a local’s perspective into the technology layer of San Antonio, I’m here to explain five reasons you should consider beginning a data science career here. Although San Antonio is usually overshadowed by its northern neighbor Austin, it is actually a humble but bustling tech hotspot according to Inc., a weekly business magazine. Especially as Austin’s infrastructure struggles to support its rapid expansion and population growth, corporations and talent have begun to siphon off to San Antonio, which is only an hour south. Cost-of-living is much lower compared to Austin and is an attractive option for anyone starting out in entry-level data science. Additionally, a 2018 CBRE report names San Antonio in the top 50 US markets for tech talent, and is rapidly rising. On top of that, San Antonio ranked first among small tech markets in millennial population growth, with 12.5 percent between 2011 and 2016. Brookings found even greater growth, more than 14 percent, among millennials in a January report. Where the talent goes, corporations will follow.     People may not realize it, but San Antonio is home to lots of large corporations such as USAA, HEB, Accenture, Hulu, iHeartMedia, Booz Allen — the list goes on. A quick Google search for data science jobs in San Antonio will pull up over a hundred active openings, all from corporations like the ones listed above. Additionally, SA Works conducted an analysis of over 30 business and thousands of job posts and has projected a higher growth in local tech jobs in San Antonio than the national average. Many of the corporations named above were found to be actively hiring for these positions. Data Science is also considered one of the best jobs in America for 2019, which makes it especially attractive with San Antonio’s affordable cost of living.  A tight-knit community means that it is much more accessible for individuals to find resources that will aid them towards their goals, i.e. to become a data scientist. With even just a few months in San Antonio, I was able to see how welcoming and supporting the tech community is. With tech conferences, meetups, workshops, hackathons, and startup competitions galore, the community is truly thriving. The hub of a lot of this activity is Geekdom, a coworking space that serves as the central place for technology nerds to gather. Much of this community has a united vision to see technology flourish in San Antonio. For example, Tech Bloc was an organization created to advocate for policies that attract technology companies and talent to San Antonio. Even Codeup itself was created in order to produce more tech talent in San Antonio and drive growth. With so many determined and passionate technology stakeholders in San Antonio, its growth is inevitable!   When I say “well-renowned”, it’s not because the majority of people talk about it. The thing about security is that… it’s typically discreet. However, San Antonio is actually the home of dozens of security startups, and some of the most prominent ones are nowhere near household names except perhaps for those that are familiar with the industry. Many of these companies would do well to not draw attention to themselves due to the nature of the work. In conjunction, the University of Texas at San Antonio has three separate cybersecurity centers, and one of them is the top-ranked program in the nation. In general, cybersecurity spending is growing globally, and this will, in turn, benefit the tech growth in San Antonio.    Growing up, I would hear my parents tell me that you need to look at someone’s wallet to know who they truly are. That is, it’s important to know how someone spends their money. One way to tell that San Antonio cares about technology is seeing how the city invests in technology initiatives. For example, there’s WiFi in eight of the city parks, solar-powered smartphone charging attached to benches, and even drones assisting in search and rescue operations. Additionally, the city and Bexar County have addressed the tech gap by budgeting up to 300,000 dollars to create a role for a chief talent and recruitment officer (CTRO). This individual, along with the local nonprofit Tech Bloc which administers the position, has a job that is two-fold: bringing in outside tech talent and matching local talent to organizations.   In many ways, San Antonio is a city that many people seem to underestimate. I showed up without high hopes, dreading the Texas heat and bad drivers. However, it’s a place that I ended up finding some of my closest friends, along with a diverse community and thriving tech industry. Plus, it doesn’t hurt that it’s dubbed the Taco capital of the US.   —  Joyce Ling is a software developer at a cloud security company based in Richardson, TX. In her free time, she sings in a women’s chorus, rock climbs, plays guitar, and currently runs an organization to bring queer women together in the Dallas/Ft. Worth metroplex.  Follow her on Instagram @ironicsushi or read more of her work at The Luscious Word."
Everyday Encounters with Data Science,"You come home from work, tired to the bone and groaning as you realize you forgot to prep dinner tonight. So, what do you do? You plop down on the couch, whip out your phone and Google “restaurants near me”. You scroll down the list of places to eat and take into account a variety of factors: how high the ratings are, how many people have rated that restaurant, how far it is from you, whether or not it’s busy at that moment, the keywords mentioned in reviews, how long it’s open… the list goes on. You carefully bookmark each prospective restaurant so you can find it later. All of a sudden, you notice that without your knowledge, three hours have slipped by. You realize with a feeling of dread in your stomach that nearly all the restaurants around you are closed… and you head over to the nearest Whataburger in defeat.  A week later, life finds you in the same supine position on the couch, scrolling through restaurants. This time, though, you realize there’s a little compatibility rating next to each restaurant listing. As you scroll, you stumble upon a sushi restaurant that apparently is 90% compatible with your preferences. Without hesitation, you rush there with glee to find that it is everything you could have hoped for! Wow! Data science saves the day!  This very relatable experience is a prime example of how many of us have experienced data science in our lives without realizing it. Let’s take a quick moment to analyze how data science played the protagonist in this story. It is important to note that data science is a broad subject that encompasses a variety of things, including first gathering and shaping data, storing that data, then analyzing and visually presenting that data.    Before we can start analyzing data, Google data scientists must first be able to gather information about everything from restaurant locations, hours, pricing, customer reviews, etc. Next, this massive influx of data must be efficiently manipulated and organized so it can quickly be retrieved, Marie Kondo style. Data scientists are then able to take and analyze this data and visually translate it into something that makes sense, such as the graph that displays the busiest hours at the restaurant, or the tidy list of restaurants you see in the app that is ordered by distance from you.  A simple action such as filtering by “Open Now” or “Price” requires a tight coordination of all of these steps in order to actually produce the output expected by the user. Amazingly, Google Maps is able to do this analysis real-time to constantly change its results based on your current location. Not only that, it is simultaneously analyzing every single person’s GPS data real-time. This allows them to generate components like the graph of how busy an establishment is at the moment.   Another important factor in data science is using analysis to drive predictions (Read more here about the difference between data analytics and data science). For example, in calculating compatibility ratings, the program takes into account Google location history, search history, types of cuisine/restaurants you typically visit or avoid, whether you’ve saved/rated/visited a place or somewhere similar, or simply data that a user inputs about their dietary preferences. It also allows for constant feedback from the user if a compatibility rating seems off, with a “Not Right?” link attached to every rating. In other words, this rating is a prediction of how much you would like a restaurant based on your past history and behavior.  So how exactly has Google mastered this compatibility rating? Most likely, data scientists at Google have created algorithms to take the pieces of information listed above to produce a prediction. Essentially, it’s a way for a computer program to act more human. For example, think about how you recommend a show to your best friend. Most likely, you know your friend’s personality and history of shows that they’ve enjoyed, so you generally know what kind of show they may like watching.  Similarly, data scientists can use algorithms and statistical models to write code that continuously “learns” to make better predictions, creating an adaptable learning machine. With machine learning and artificial intelligence, Google is able to generate friendly human-like recommendations for over a billion people every single month, which is probably better than what your best friend could do.  As the data science field continues to progress and we get closer and closer to true artificial intelligence, we will most likely see the effects of that trickle down into the parts of our everyday life that we hardly consider. We already trust the algorithms and generated recommendations that suggest where or when to eat. Eventually, even something as vital as a life-altering surgery will be dictated by recommendations generated by algorithms for doctors. Understanding and learning about data science will become more significant as it gradually becomes enmeshed with society in ways we may not even be able to fully comprehend. Read more here about Codeup’s 18-week Data Science program which covers most of the topics mentioned in this article, including data visualization, analytics, and machine learning.  —  Joyce Ling is a software developer at a cloud security company based in Richardson, TX. In her free time, she sings in a women’s chorus, rock climbs, plays guitar, and currently runs an organization to bring queer women together in the Dallas/Ft. Worth metroplex.  Follow her on Instagram @ironicsushi or read more of her work at The Luscious Word."
Finding the Perfect Coding Bootcamp Fit for Me,"  
By Marcella Munter I looked at Codeup for 2 years before I finally made the decision to apply. As a requirement for my Math degree, I took an Intro to Java class. I enjoyed it so much and was tempted to switch majors. However, I was a semester away from graduation and decided not to. Coding was still something I wanted to do so I tried some online courses.  The online classes were satisfactory, but it made me realize two things: 1) I didn’t know what I needed to be learning and 2) whatever I did learn, I needed to be in a classroom setting to learn it. I heard about Codeup and other coding bootcamps and added myself to Codeup’s mailing list. However, both the price and the thought of having to quit my job scared me from ever applying. I found a cheaper coding school and attended one of their coding workshops, but didn’t like the way the workshop was run. The instructors only gave us lines of code to write with little theory behind it. That combined with poor organization in general made me realize that was not the place for me. I went back to Codeup’s website and read about their curriculum. I liked how theory as well as practical usage was taught. I was also liked seeing how much help was available to students from instructors and student fellows. However, the biggest question still on my mind was, “Will I get a job afterwards?” I learned that the curriculum at Codeup is developed with input from tech companies, which means that Codeup is teaching important skills that employers are actually looking for. Incidentally, the curriculum changed a bit a few months before I started due to employers’ requests. An added bonus on the job front was an in-house liaison between students and employers. Codeup’s Director of Product, Stephen Salas, has connections with several companies and he always know which ones are looking for developers fresh out of school. I decided to take a chance and applied even though I was still worried about the financial part of it. When I got accepted, I found out that there are many scholarships and programs to help ease the financial burden. I qualified for some of these even though I thought I wouldn’t. Many more scholarships and grants have been added since I left Codeup thus lowering the barrier to attend. I graduated in May 2018 and am currently working as a developer specializing in data extraction and transformation. I love what I’m doing now. My only regret is that I didn’t do this sooner."
Codeup Student Check In: Month 3,"Photo by Jon Garcia Codeup welcomed the Wrangell cohort on July 23. With the start of this cohort, we launched a new blog series: the Codeup Student Check In. We’ll interview a student over the course of the 4.5 months to see how things are progressing from first impressions all the way to graduation. Thus, welcome to the Codeup Student Check In: Month 3!     Codeup: How has your experience been at Codeup so far?  Wrangell Student: I’ve had a great experience so far. Everything has been what I imagined and more. I have learned things in a short amount of time that otherwise would’ve taken me months upon months to learn. The people here are some of the kindest and most supportive people that I’ve met in a long time, and I’m happy to have this experience in my life.  C: Describe what you’re learning right now. Is it hard/fun/challenging?  S: We’ve just started our capstone project which is the final hurrah of our Codeup experience. We are in the planning stages and it’s honestly a little overwhelming due to the sheer amount of information we’re communicating to our teammates and because of the volume of work that’s going to be done over this next week or two. Nonetheless, I am excited by the challenge and I know that our final project is going to be something that I will be really proud of and really happy to have been a part of. I’m excited to see how it will all pan out.  C: How has the learning process/information gathering been? S: I love doing research and the focus of my research has shifted from solely academic to a balance between academic and professional. I am still researching new technologies as well as doing further research into the current curriculum but now I am also doing research into potential companies I’d like to work with. I’m interested in their mission and if their goals align with mine, both short and long term. C:What has been the most memorable part of this month? S:The most memorable part of this month has been actually shopping for new interview outfits, looking at myself in the mirror, and seeing a young professional. This has been one of my long-term goals and it’s a great experience seeing it come to fruition. C:How do you feel your skill level compares to last month?  S: I think my skill levels are increasing each month. Now that we are going into full stack applications I can finally see the cumulative success of my time here. C: How have the instructors and staff been helpful? Have you started working with the placement side of Codeup? If so, can you elaborate on that?  S: I am grateful for the mock interview process with the instructors. It’s really helpful to have your instructors grade you on your performance and prep you for real world interviews. These instructors all have some sort of practical experience and firsthand knowledge of the professional world. Their experience and advice is invaluable. C: Did you learn anything new at Codeup that you weren’t expecting?  S: I wasn’t expecting to learn as many people skills as I did. I thought this was strictly a technical school and this really came as a surprise. I have really learned how to network and how to talk to people that I otherwise would have been scared to talk to. I’ve learned that people are people, just humans, and improving conversational skills to talk with them is valuable. Learning the value of a human connection in the professional world is a very exciting thing. C: Have you been interviewing for jobs? What has that been like? If not, do you know what type of role you are looking for? (Ie. Developer, Q/A, Tech sales, Tech Ed, etc) S: I’ve had a few interviews this weekend and they have been very exciting and stressful. Having interviews back to back is both a blessing and a curse. It’s important to destress at home and really be aware of your emotions and reactions to stress. Time management is another big challenge. How much time do I put into studying versus interview prep? How much time can I dedicate to other life roles and be a good girlfriend, good daughter, and good pet owner while still fulfilling my role as a student and job seeker? These challenges are tough to overcome, and this is where emotional awareness can really help. C: If you can give one piece of advice to any prospective students, what would it be?  S: Really do your research. Know what you’re getting into. You can’t go into anything blind! Get as much knowledge as you can so you can thoroughly prepare for and enjoy this journey. A great plan will save you a lot of suffering in the long run."
From Styling Hair to Stying Interfaces,"By Sukari Schutzman  I grew up loving technology. I still remember thinking that my grandmothers’ flip phone in 1995 was the coolest thing I had ever seen. As a child, I took all my electronic toys apart, because I was curious what was inside. So you can say, I always yearned for a career in tech. My name is Sukari Schutzman. I don’t take myself too seriously, I’m always laughing, and trying to share positive energy, but most importantly I am a software developer. When I got my cosmetology license, I was passionate about doing hair. I wanted to learn how to be better, and how to perfect my craft. In many ways, I see a lot of parallels in cosmetology, and in software development. Drawing those parallels kept me strong in the program and reminded me to never give up. I remembered when I was in cosmetology school, or when I was in the salon and I was stuck on something, I always asked for help. In software development and at Codeup, the same rings true. I had always driven by the billboards on I-10 on my way into San Antonio and was ALWAYS confused. “Software Developer? Why is ‘Retail Manager’ crossed out? What is that?”, I always wondered. But I always continued to drive on and thought nothing of it when I reached my destination. I decided development was for me and wanted to transition into it and learn how to code, as I had been exposed to it for a while. I knew self-study would not work for me. I needed to be in a classroom and knew I needed to be in front of an instructor. But most importantly, I needed a job ASAP because I needed to support myself and my child. When I arrived at Codeup and went on the tour I was amazed. I knew this would be the place for me, and it was going to be where I knew my life would change. I was going to be walking out of one door and into another. And I wasn’t going to look back. When I found out that I had got in, I was so happy that my hard work paid off and I knew it was just the beginning of what was to come. I looked forward to the start date and marked it on my calendar. I also quit my job, which was much needed because salon life was stressful enough, let alone learning a new skill. The next few months were filled with triumphs and failures, which is normal in any career. No one is born good at everything, it takes practice and determination (I totally had to repeat that to myself every single day at Codeup. Thanks Ryan!). Sometimes it felt like two steps back, but I was determined to make it to Demo Day and present my Capstone. With the help of Codeup staff, I felt setup to succeed at Demo Day. But most of all, I felt prepared for my new career. Demo Day finally came! Our project got the most compliments on the visual interface, which I worked hard on, and helped us stand out amongst our classmates. I had a few interviews set up for within a week after Demo Day and landed my first job. At this point, I was in awe. Everything I worked hard for had finally came to fruition. And most of all, I didn’t have to work weekends unless I wanted to.  There’s nothing wrong with being hair stylist, absolutely not! However, it just wasn’t for me anymore. Thanks to Codeup, my life is so different now. And for that, I am eternally grateful."
